id,"X","city","area","rooms","bathroom","parking.spaces","floor","animal","furniture","hoa","rent.amount","property.tax","fire.insurance","total"
"1",0,1,240,3,3,4,"-","acept","furnished","R$0","R$8,000","R$1,000","R$121","R$9,121"
"2",1,0,64,2,1,1,"10","acept","not furnished","R$540","R$820","R$122","R$11","R$1,493"
"3",2,1,443,5,5,4,"3","acept","furnished","R$4,172","R$7,000","R$1,417","R$89","R$12,680"
"4",3,1,73,2,2,1,"12","acept","not furnished","R$700","R$1,250","R$150","R$16","R$2,116"
"5",4,1,19,1,1,0,"-","not acept","not furnished","R$0","R$1,200","R$41","R$16","R$1,257"
"6",5,1,13,1,1,0,"2","acept","not furnished","R$0","R$2,200","R$42","R$28","R$2,270"
"7",6,1,55,1,1,1,"2","acept","furnished","R$1,950","R$5,000","R$375","R$64","R$7,389"
"8",7,1,55,2,2,1,"2","acept","not furnished","R$600","R$1,300","R$67","R$17","R$1,984"
"9",8,1,82,3,1,1,"3","acept","furnished","R$828","R$2,000","R$109","R$26","R$2,963"
"10",9,1,32,1,1,1,"16","acept","not furnished","R$533","R$2,900","R$0","R$37","R$3,470"
"11",10,0,60,1,1,0,"6","acept","not furnished","R$480","R$720","R$20","R$10","R$1,230"
"12",11,0,64,1,2,1,"4","acept","furnished","R$406","R$1,550","R$0","R$7","R$1,963"
"13",12,1,20,1,1,0,"4","acept","furnished","R$602","R$1,800","R$130","R$23","R$2,555"
"14",13,1,375,4,5,5,"1","acept","not furnished","R$4,793","R$15,000","R$2,805","R$191","R$22,790"
"15",14,1,92,2,1,1,"7","not acept","furnished","R$690","R$3,950","R$0","R$51","R$4,691"
"16",15,0,56,2,1,1,"1","acept","not furnished","R$345","R$950","R$11","R$13","R$1,319"
"17",16,0,188,2,3,8,"-","acept","not furnished","R$0","R$3,010","R$584","R$46","R$3,640"
"18",17,1,100,3,2,1,"-","acept","not furnished","R$0","R$3,500","R$260","R$53","R$3,813"
"19",18,1,192,3,3,2,"13","acept","not furnished","R$2,100","R$7,800","R$634","R$99","R$10,630"
"20",19,1,93,3,2,1,"10","acept","not furnished","R$1,497","R$3,500","R$227","R$45","R$5,269"
"21",20,1,155,3,3,2,"-","acept","not furnished","R$0","R$2,650","R$233","R$40","R$2,923"
"22",21,1,80,2,2,0,"9","not acept","not furnished","R$600","R$2,550","R$46","R$33","R$3,229"
"23",22,1,65,2,2,2,"14","not acept","not furnished","R$907","R$3,500","R$0","R$45","R$4,452"
"24",23,1,320,3,3,4,"-","acept","not furnished","R$0","R$9,000","R$1,000","R$136","R$10,140"
"25",24,1,180,3,5,3,"3","acept","not furnished","R$2,900","R$8,100","R$0","R$103","R$11,100"
"26",25,1,31,1,1,1,"4","acept","not furnished","R$272","R$3,200","R$64","R$41","R$3,577"
"27",26,1,105,4,2,2,"3","acept","not furnished","R$1,659","R$6,500","R$400","R$83","R$8,642"
"28",27,1,300,3,4,2,"9","acept","furnished","R$2,000","R$14,000","R$1,084","R$178","R$17,260"
"29",28,0,150,3,2,2,"13","acept","not furnished","R$1,370","R$1,800","R$250","R$23","R$3,443"
"30",29,1,130,3,3,2,"-","acept","not furnished","R$0","R$6,000","R$84","R$91","R$6,175"
"31",30,1,70,2,1,0,"1","acept","not furnished","R$521","R$3,000","R$50","R$39","R$3,610"
"32",31,1,120,3,1,4,"-","acept","not furnished","R$0","R$3,500","R$234","R$53","R$3,787"
"33",32,1,250,3,4,2,"-","acept","not furnished","R$300","R$3,480","R$360","R$53","R$4,193"
"34",33,1,50,1,1,0,"1","acept","not furnished","R$325","R$1,550","R$25","R$20","R$1,920"
"35",34,1,240,3,3,3,"3","acept","not furnished","R$4,132","R$3,800","R$952","R$49","R$8,933"
"36",35,1,250,4,4,2,"-","not acept","not furnished","Sem info","R$6,600","R$0","R$100","R$6,700"
"37",36,0,94,3,3,2,"1","acept","not furnished","R$750","R$2,200","R$192","R$28","R$3,170"
"38",37,1,176,3,4,3,"4","acept","not furnished","R$1,600","R$6,500","R$775","R$83","R$8,958"
"39",38,1,180,3,4,5,"-","acept","not furnished","Sem info","R$3,300","R$266","R$50","R$3,616"
"40",39,1,191,3,3,4,"1","acept","furnished","R$2,605","R$15,000","R$1,299","R$191","R$19,100"
"41",40,1,25,1,1,0,"14","acept","not furnished","R$257","R$1,698","R$0","R$22","R$1,977"
"42",41,1,800,4,5,4,"9","acept","not furnished","R$6,000","R$15,000","R$3,334","R$191","R$24,530"
"43",42,1,340,3,4,3,"-","acept","furnished","R$0","R$9,800","R$392","R$148","R$10,340"
"44",43,1,90,2,1,0,"-","not acept","not furnished","R$0","R$1,450","R$50","R$22","R$1,522"
"45",44,0,650,5,4,8,"-","acept","furnished","R$0","R$8,500","R$442","R$128","R$9,070"
"46",45,1,100,2,2,0,"1","acept","not furnished","R$0","R$2,700","R$265","R$35","R$3,000"
"47",46,1,230,4,4,4,"1","acept","furnished","R$2,300","R$13,500","R$1,084","R$172","R$17,060"
"48",47,1,190,2,3,2,"-","acept","not furnished","R$0","R$13,050","R$1,284","R$197","R$14,530"
"49",48,1,205,4,4,6,"5","acept","not furnished","R$2,450","R$2,720","R$959","R$35","R$6,164"
"50",49,1,96,3,3,2,"8","acept","not furnished","R$866","R$1,790","R$90","R$23","R$2,769"
"51",50,1,396,4,4,4,"-","acept","not furnished","R$0","R$10,000","R$750","R$151","R$10,900"
"52",51,0,74,3,2,1,"7","acept","not furnished","R$650","R$1,600","R$250","R$21","R$2,521"
"53",52,0,30,1,1,0,"5","not acept","furnished","R$380","R$500","R$10","R$7","R$897"
"54",53,1,64,3,2,1,"7","acept","not furnished","R$522","R$1,400","R$65","R$18","R$2,005"
"55",54,1,105,3,2,2,"1","acept","furnished","R$1,544","R$7,800","R$488","R$99","R$9,931"
"56",55,1,50,1,2,1,"10","acept","furnished","R$1,050","R$5,900","R$259","R$75","R$7,284"
"57",56,1,60,2,1,0,"3","not acept","not furnished","R$400","R$1,300","R$0","R$17","R$1,717"
"58",57,1,50,2,1,1,"6","acept","furnished","R$585","R$2,000","R$49","R$26","R$2,660"
"59",58,1,90,2,2,0,"-","acept","not furnished","R$0","R$1,700","R$38","R$26","R$1,764"
"60",59,1,130,3,2,1,"8","not acept","furnished","R$1,200","R$7,500","R$417","R$96","R$9,213"
"61",60,1,20,1,1,0,"1","not acept","furnished","Incluso","R$1,950","R$0","R$25","R$1,975"
"62",61,1,400,4,3,2,"-","acept","not furnished","R$0","R$5,650","R$338","R$85","R$6,073"
"63",62,1,220,3,3,5,"-","acept","not furnished","R$0","R$7,500","R$0","R$113","R$7,613"
"64",63,1,750,7,6,5,"-","acept","furnished","R$0","R$5,800","R$559","R$88","R$6,447"
"65",64,1,20,1,1,0,"-","acept","furnished","R$602","R$1,800","R$130","R$23","R$2,555"
"66",65,0,140,3,2,2,"15","not acept","not furnished","R$998","R$2,100","R$283","R$27","R$3,408"
"67",66,1,22,1,1,0,"-","not acept","not furnished","R$250","R$1,080","R$14","R$14","R$1,358"
"68",67,1,345,2,3,2,"4","not acept","not furnished","R$3,655","R$12,000","R$783","R$153","R$16,590"
"69",68,0,46,2,1,1,"3","not acept","not furnished","R$250","R$1,100","R$53","R$5","R$1,408"
"70",69,1,35,1,1,1,"2","not acept","furnished","R$550","R$3,250","R$30","R$42","R$3,872"
"71",70,0,72,2,2,1,"2","acept","not furnished","R$500","R$1,200","R$97","R$16","R$1,813"
"72",71,1,60,1,1,2,"2","not acept","not furnished","R$3,398","R$1,900","R$288","R$25","R$5,611"
"73",72,1,180,3,2,4,"-","not acept","furnished","R$0","R$11,000","R$667","R$166","R$11,830"
"74",73,1,83,3,2,1,"9","not acept","furnished","R$805","R$3,300","R$80","R$42","R$4,227"
"75",74,1,50,1,1,0,"1","acept","not furnished","R$519","R$1,550","R$28","R$20","R$2,117"
"76",75,1,38,1,1,1,"14","not acept","furnished","R$1,620","R$3,020","R$279","R$39","R$4,958"
"77",76,1,140,3,3,2,"2","acept","not furnished","R$1,300","R$2,800","R$292","R$36","R$4,428"
"78",77,0,62,2,1,1,"3","acept","not furnished","R$485","R$980","R$48","R$13","R$1,526"
"79",78,1,70,1,1,0,"2","acept","furnished","R$1,500","R$4,000","R$284","R$51","R$5,835"
"80",79,0,55,1,1,0,"14","acept","not furnished","R$600","R$1,100","R$60","R$14","R$1,774"
"81",80,0,60,2,1,1,"1","not acept","not furnished","R$430","R$815","R$20","R$6","R$1,271"
"82",81,1,85,2,2,1,"6","acept","not furnished","R$1,250","R$1,738","R$261","R$23","R$3,272"
"83",82,1,134,3,3,3,"11","not acept","not furnished","R$1,655","R$8,000","R$380","R$102","R$10,140"
"84",83,1,200,3,2,2,"19","acept","not furnished","R$2,573","R$10,000","R$1,121","R$127","R$13,820"
"85",84,1,170,3,2,2,"-","acept","furnished","R$0","R$3,900","R$267","R$59","R$4,226"
"86",85,1,46,1,1,2,"16","acept","furnished","R$2,210","R$6,220","R$255","R$79","R$8,764"
"87",86,1,20,1,1,0,"4","acept","furnished","R$602","R$1,800","R$130","R$23","R$2,555"
"88",87,1,58,2,2,1,"5","not acept","furnished","R$1,000","R$4,500","R$144","R$58","R$5,702"
"89",88,1,96,3,2,3,"4","acept","not furnished","R$1,024","R$2,350","R$313","R$30","R$3,717"
"90",89,1,190,3,3,3,"6","acept","not furnished","R$3,000","R$13,000","R$84","R$165","R$16,250"
"91",90,1,87,3,2,4,"14","acept","not furnished","R$800","R$2,000","R$67","R$26","R$2,893"
"92",91,1,42,1,1,0,"5","acept","not furnished","R$350","R$2,400","R$94","R$31","R$2,875"
"93",92,1,145,3,3,1,"10","acept","furnished","R$1,380","R$11,000","R$375","R$140","R$12,900"
"94",93,1,250,4,6,4,"12","not acept","not furnished","R$3,000","R$14,500","R$875","R$184","R$18,560"
"95",94,1,90,2,1,1,"1","acept","not furnished","R$1,000","R$3,000","R$50","R$39","R$4,089"
"96",95,1,250,6,2,2,"-","acept","not furnished","R$0","R$2,472","R$26","R$38","R$2,536"
"97",96,1,500,3,4,5,"-","acept","furnished","R$0","R$7,620","R$1,094","R$115","R$8,829"
"98",97,1,80,2,2,2,"6","acept","furnished","R$1,581","R$8,800","R$112","R$112","R$10,610"
"99",98,0,120,3,2,3,"-","acept","not furnished","R$0","R$2,500","R$180","R$38","R$2,718"
"100",99,0,265,3,3,2,"-","acept","not furnished","R$0","R$2,400","R$140","R$37","R$2,577"
"101",100,0,50,2,1,1,"4","acept","not furnished","R$330","R$1,080","R$0","R$14","R$1,424"
"102",101,0,126,3,3,2,"1","acept","not furnished","R$780","R$3,800","R$167","R$49","R$4,796"
"103",102,0,55,2,1,1,"1","acept","not furnished","R$390","R$720","R$0","R$10","R$1,120"
"104",103,1,29,1,1,1,"20","acept","furnished","R$700","R$2,700","R$84","R$35","R$3,519"
"105",104,1,59,2,1,1,"24","acept","not furnished","R$514","R$2,450","R$138","R$32","R$3,134"
"106",105,1,200,2,4,4,"4","acept","not furnished","R$2,450","R$7,800","R$1,417","R$99","R$11,770"
"107",106,1,74,3,2,1,"7","acept","not furnished","R$577","R$2,196","R$100","R$28","R$2,901"
"108",107,1,290,4,5,2,"6","acept","not furnished","R$4,300","R$10,000","R$875","R$127","R$15,300"
"109",108,1,172,3,4,3,"1","acept","not furnished","R$1,596","R$8,000","R$820","R$102","R$10,520"
"110",109,1,25,1,1,0,"5","not acept","furnished","R$270","R$2,600","R$67","R$33","R$2,970"
"111",110,1,50,1,1,1,"-","acept","not furnished","R$0","R$1,100","R$0","R$17","R$1,117"
"112",111,1,40,1,1,0,"3","acept","not furnished","R$300","R$1,100","R$0","R$14","R$1,414"
"113",112,1,80,2,2,2,"-","acept","not furnished","R$0","R$2,465","R$0","R$38","R$2,503"
"114",113,1,280,6,6,3,"-","acept","not furnished","R$0","R$5,000","R$1,118","R$76","R$6,194"
"115",114,1,60,1,1,1,"12","acept","furnished","R$850","R$4,723","R$0","R$18","R$5,591"
"116",115,1,115,2,3,2,"8","acept","not furnished","R$1,380","R$12,000","R$790","R$153","R$14,320"
"117",116,1,540,3,3,4,"9","acept","not furnished","R$6,200","R$15,000","R$3,500","R$191","R$24,890"
"118",117,1,76,2,1,1,"12","not acept","furnished","R$906","R$4,250","R$217","R$54","R$5,427"
"119",118,0,150,4,5,2,"1","acept","not furnished","R$1,100","R$2,980","R$360","R$38","R$4,478"
"120",119,1,130,3,2,1,"8","acept","not furnished","R$2,400","R$5,500","R$209","R$70","R$8,179"
"121",120,0,64,2,1,1,"-","acept","not furnished","R$441","R$730","R$18","R$10","R$1,199"
"122",121,1,55,2,2,1,"2","acept","not furnished","R$420","R$1,300","R$50","R$17","R$1,787"
"123",122,1,50,1,1,0,"1","acept","not furnished","R$600","R$1,300","R$0","R$17","R$1,917"
"124",123,1,120,2,3,2,"20","acept","not furnished","R$2,000","R$7,000","R$180","R$89","R$9,269"
"125",124,0,236,3,4,4,"10","acept","not furnished","R$1,600","R$11,000","R$440","R$140","R$13,180"
"126",125,0,30,1,1,0,"4","acept","not furnished","R$336","R$550","R$10","R$7","R$903"
"127",126,0,270,3,3,0,"-","acept","furnished","R$0","R$8,000","R$500","R$121","R$8,621"
"128",127,0,48,1,1,0,"9","acept","not furnished","R$350","R$670","R$21","R$9","R$1,050"
"129",128,0,198,6,3,4,"-","acept","not furnished","R$0","R$2,000","R$145","R$31","R$2,176"
"130",129,1,50,1,1,0,"-","acept","not furnished","R$0","R$1,080","R$59","R$17","R$1,156"
"131",130,1,185,3,3,3,"20","acept","not furnished","R$2,670","R$5,600","R$907","R$71","R$9,248"
"132",131,1,440,4,4,4,"-","acept","not furnished","R$0","R$12,000","R$2,500","R$181","R$14,680"
"133",132,0,119,3,2,2,"7","acept","not furnished","R$1,650","R$1,200","R$212","R$16","R$3,078"
"134",133,1,57,2,2,2,"16","acept","not furnished","R$510","R$1,690","R$11","R$22","R$2,233"
"135",134,1,65,2,1,1,"1","acept","not furnished","R$100","R$1,400","R$84","R$18","R$1,602"
"136",135,1,35,2,1,1,"-","acept","not furnished","R$125","R$2,100","R$0","R$32","R$2,257"
"137",136,0,51,1,2,1,"16","not acept","not furnished","R$703","R$2,100","R$150","R$27","R$2,980"
"138",137,0,70,2,3,1,"7","acept","not furnished","R$1,196","R$2,004","R$0","R$26","R$3,226"
"139",138,1,90,2,1,1,"-","acept","not furnished","Incluso","R$1,500","R$0","R$23","R$1,523"
"140",139,1,320,3,4,3,"8","acept","not furnished","R$3,400","R$6,800","R$1","R$87","R$10,290"
"141",140,1,250,7,5,2,"-","acept","not furnished","R$0","R$12,750","R$1,045","R$192","R$13,990"
"142",141,1,70,2,1,1,"6","acept","not furnished","R$660","R$3,800","R$45","R$49","R$4,554"
"143",142,1,169,4,6,3,"7","acept","furnished","R$2,560","R$10,000","R$734","R$127","R$13,420"
"144",143,1,33,1,1,0,"1","not acept","not furnished","R$338","R$1,100","R$63","R$14","R$1,515"
"145",144,1,225,4,4,3,"7","acept","not furnished","R$2,800","R$5,000","R$1,267","R$64","R$9,131"
"146",145,1,42,1,1,0,"2","acept","furnished","R$0","R$3,256","R$0","R$42","R$3,298"
"147",146,1,120,3,4,1,"-","not acept","not furnished","R$0","R$4,000","R$4","R$61","R$4,065"
